product_sku|name|price|detail_text|level_1|level_2|level_3
160286|Кабина душевая 900*900*2150 IKA A-1210|12056.00|"Современная и удобная душевая кабина, производства IKA. Выполнена с применением матового стекла. Верхний душ и ручной душ. Полочка для душевых принадлежностей. Комплектуется блоком управления, задняя стенка монолитная, высокий поддон. В душевой кабине имеется свет, радио и вентиляция! Отличный выбор для квартиры или загородного дома.
Размер 90*90*215 cм
Высокий усиленный армированный поддон
Матовое стекло
6 форсунок
Верхний душ
Ручной душ
Задняя стенка из трёх частей.
Без блока управления
Производитель: IKA"|Сантехника|Душевые кабины|
189677|Кабина душевая 900*900*2150 IKA A-1210/X087|11803.00|"Современная и удобная душевая кабина, производства IKA. Выполнена с применением матового стекла. Верхний душ и ручной душ. Полочка для душевых принадлежностей. Комплектуется блоком управления, задняя стенка монолитная, высокий поддон. В душевой кабине имеется свет, радио и вентиляция! Отличный выбор для квартиры или загородного дома.
Размер 90*90*215 cм
Высокий усиленный армированный поддон
Матовое стекло
6 форсунок
Верхний душ
Ручной душ
Задняя стенка из трёх частей.
Без блока управления
Производитель: IKA"|Сантехника|Душевые кабины|
171093|Кабина душевая 1200*800*2150 IKA E-1611G/X037L|14531.00|"Современная и удобная душевая кабина, производства IKA. Выполнена с применением матового стекла. Верхний душ и ручной душ. Полочка для душевых принадлежностей. Комплектуется блоком управления, задняя стенка монолитная, высокий поддон. В душевой кабине имеется свет, радио и вентиляция! Отличный выбор для квартиры или загородного дома.
Массаж: вертикальный гидромассаж, гидромассаж ног, гидромассаж спины
Дополнительные функции: тропический душ, вентиляция
Мультимедиа и связь: радио, телефон (громкая связь)
Управление
Электронное управление: есть
Дисплей: есть
Дистанционное управление: нет
Голосовое управление: нет
Особенности
Комплектация: сидение, зеркало, полки, душевая лейка, смеситель
Освещение: верхняя подсветка
Дополнительная информация: декоративная подсветка"|Сантехника|Душевые кабины|
171094|Кабина душевая 1200*800*2150 IKA E-1611G/X037R|14530.00|"Современная и удобная душевая кабина, производства IKA. Выполнена с применением матового стекла. Верхний душ и ручной душ. Полочка для душевых принадлежностей. Комплектуется блоком управления, задняя стенка монолитная, высокий поддон. В душевой кабине имеется свет, радио и вентиляция! Отличный выбор для квартиры или загородного дома.
Массаж: вертикальный гидромассаж, гидромассаж ног, гидромассаж спины
Дополнительные функции: тропический душ, вентиляция
Мультимедиа и связь: радио, телефон (громкая связь)
Управление
Электронное управление: есть
Дисплей: есть
Дистанционное управление: нет
Голосовое управление: нет
Особенности
Комплектация: сидение, зеркало, полки, душевая лейка, смеситель
Освещение: верхняя подсветка
Дополнительная информация: декоративная подсветка"|Сантехника|Душевые кабины|
145268|Кабина душевая 1200*850*2150 IKA E-1611GL/HQ054L левая|17984.00|"Современная и удобная душевая кабина, производства IKA. Выполнена с применением матового стекла. Верхний душ и ручной душ. Полочка для душевых принадлежностей. Комплектуется блоком управления, задняя стенка монолитная, высокий поддон. В душевой кабине имеется свет, радио и вентиляция! Отличный выбор для квартиры или загородного дома.
Массаж: вертикальный гидромассаж, гидромассаж ног, гидромассаж спины
Дополнительные функции: тропический душ, вентиляция
Мультимедиа и связь: радио, телефон (громкая связь)
Управление
Электронное управление: есть
Дисплей: есть
Дистанционное управление: нет
Голосовое управление: нет
Особенности
Комплектация: сидение, зеркало, полки, душевая лейка, смеситель
Освещение: верхняя подсветка
Дополнительная информация: декоративная подсветка"|Сантехника|Душевые кабины|
145269|Кабина душевая 1200*850*2150 IKA E-1611GR/HQ054R правая|18009.00|"Современная и удобная душевая кабина, производства IKA. Выполнена с применением матового стекла. Верхний душ и ручной душ. Полочка для душевых принадлежностей. Комплектуется блоком управления, задняя стенка монолитная, высокий поддон. В душевой кабине имеется свет, радио и вентиляция! Отличный выбор для квартиры или загородного дома.
Массаж: вертикальный гидромассаж, гидромассаж ног, гидромассаж спины
Дополнительные функции: тропический душ, вентиляция
Мультимедиа и связь: радио, телефон (громкая связь)
Управление
Электронное управление: есть
Дисплей: есть
Дистанционное управление: нет
Голосовое управление: нет
Особенности
Комплектация: сидение, зеркало, полки, душевая лейка, смеситель
Освещение: верхняя подсветка
Дополнительная информация: декоративная подсветка"|Сантехника|Душевые кабины|
160284|Кабина душевая 1500*800*2150 IKA E-6111G|22520.00|"Современная и удобная душевая кабина, производства IKA. Выполнена с применением матового стекла. Верхний душ и ручной душ. Полочка для душевых принадлежностей. Комплектуется блоком управления, задняя стенка монолитная, высокий поддон. В душевой кабине имеется свет, радио и вентиляция! Отличный выбор для квартиры или загородного дома.
Массаж: вертикальный гидромассаж, гидромассаж ног, гидромассаж спины
Дополнительные функции: тропический душ, вентиляция
Мультимедиа и связь: радио, телефон (громкая связь)
Управление
Электронное управление: есть
Дисплей: есть
Дистанционное управление: нет
Голосовое управление: нет
Особенности
Комплектация: сидение, зеркало, полки, душевая лейка, смеситель
Освещение: верхняя подсветка
Дополнительная информация: декоративная подсветка"|Сантехника|Душевые кабины|
160285|Кабина душевая 1700*800*2150 IKA E-7311G|24411.00|"Размер:1700*800*2150 Высокий усиленный, армированный поддон Профиль усиленный,алюм. Гидромассаж спины
Тропический душ
Верхний лунный свет
Душевой комплект с многорежимной душевой лейкой на гибком шланге
Лунный свет на стойке
Вентилятор, радио, телефон
Гидромассаж для ног
Смеситель"|Сантехника|Душевые кабины|
183887|Поддон душевой стальной 700*700*160 Portu|771.00|"Поддон душевой предназначен для установки в душевых и ванных комнатах.
Размеры: 700*700*160.
"|Сантехника|Душевые поддоны|
091484|Поддон душевой стальной 800*800*165 Emalia /Польша/|1680.00|"Поддон душевой предназначен для установки в душевых и ванных комнатах.
Размеры: 800*800*165.
"|Сантехника|Душевые поддоны|
095155|Поддон душевой стальной 900*900*160 Emalia /Польша/|1800.00|"Поддон душевой предназначен для установки в душевых и ванных комнатах.
Размеры: 900*900*160.
"|Сантехника|Душевые поддоны|
008467|"Крепление телескопическое 1"""|147.00|Крепеж для полотенцесушителя телескопический.|Водоснабжение, отопление|Полотенцесушители|
153976|"Муфта американка прямая 1""*1/2"" 12-12"|88.00|Фитинги применяются в системах водяного и парового отопления, холодного и горячего водоснабжения, технологических трубопроводах, системах полива.|Водоснабжение, отопление|Полотенцесушители|
155850|"Муфта американка прямая 1""*3/4"" 12-12"|435.00|Фитинги применяются в системах водяного и парового отопления, холодного и горячего водоснабжения, технологических трубопроводах, системах полива.|Водоснабжение, отопление|Полотенцесушители|
153982|"Муфта американка угловая 1*1/2"" 12-15"|550.00|Фитинги применяются в системах водяного и парового отопления, холодного и горячего водоснабжения, технологических трубопроводах, системах полива.|Водоснабжение, отопление|Полотенцесушители|
153983|"Муфта американка угловая 1*3/4"" 12-15"|609.00|Фитинги применяются в системах водяного и парового отопления, холодного и горячего водоснабжения, технологических трубопроводах, системах полива.|Водоснабжение, отопление|Полотенцесушители|
050188|"Полотенцесушитель нерж. Терминус М 500*600 1"""|1785.00|"тип: водяной 
марка стали: AISI 304 
подключение: боковое 
межосевое расстояние: 500 мм"|Водоснабжение, отопление|Полотенцесушители|
050191|"Полотенцесушитель нерж. Терминус М 600*600 1"""|1865.00|"тип			водяной
марка стали			AISI 304
подключение			боковое
межосевое растояние			600 мм
размер (высота х ширина)			600х600 мм
"|Водоснабжение, отопление|Полотенцесушители|
085022|Кран Маевского 1/2 R400|29.00|Воздухоотводчик, предназначенный для ручного удаления воздуха из системы отопления.|Водоснабжение, отопление|Установка радиатора отопления|Комплектующие для радиаторов
044293|Кронштейн для радиатора с дюбелем бел.|4.00|Предназначен для крепления радиатора к стене.|Водоснабжение, отопление|Установка радиатора отопления|Комплектующие для радиаторов
018760|Кронштейн угловой белый|14.00|Предназначен для крепления радиатора к стене.|Водоснабжение, отопление|Установка радиатора отопления|Комплектующие для радиаторов
027832|Прокладка для радиатора|5.00|Прокладка межсекционная для алюминиевых и биметалических радиаторов отопления.|Водоснабжение, отопление|Установка радиатора отопления|Комплектующие для радиаторов
140650|Комплект универсальный для подключения радиатора 1/2+дюбеля|226.00|"Комплект включает в себя необходимые детали для быстрого и удобного подключения радиатора к системе отопления.
В который входят:
кран маевского(спускник)
заглушка
переходник левый 
переходник правый
2 кронштейна

"|Водоснабжение, отопление|Установка радиатора отопления|Комплектующие для радиаторов
144623|Комплект универсальный для подключения радиатора 3/4+дюбеля|241.00|"Комплект включает в себя необходимые детали для быстрого и удобного подключения радиатора к системе отопления.
В который входят:
кран маевского(спускник)
заглушка
переходник левый 
переходник правый
2 кронштейна


"|Водоснабжение, отопление|Установка радиатора отопления|Комплектующие для радиаторов
013011|Экран-отражатель для радиатора 3-х секционный|229.00|Экран отражатель для радиаторов отопления белый.|Водоснабжение, отопление|Установка радиатора отопления|Экраны на радиаторы отопления
013012|Экран-отражатель для радиатора 4-х секционный|249.00|Экран отражатель для радиаторов отопления белый.|Водоснабжение, отопление|Установка радиатора отопления|Экраны на радиаторы отопления
013013|Экран-отражатель для радиатора 5-ти секционный|269.00|Экран отражатель для радиаторов отопления белый.|Водоснабжение, отопление|Установка радиатора отопления|Экраны на радиаторы отопления
123766|Экран-отражатель для радиатора 7-ми секционный|399.00|Экран отражатель для радиаторов отопления белый.|Водоснабжение, отопление|Установка радиатора отопления|Экраны на радиаторы отопления
140078|Радиатор ТЕПЛОН РА 500/80 4 секции|978.00|"Благодаря высокой теплоотдаче секций радиаторы можно использовать в низкотемпературных системах отопления.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 72мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
140082|Радиатор ТЕПЛОН РА 500/80 6 секций|1630.00|"Легкие и элегантные алюминиевые радиаторы отопления, имеют максимальную теплоотдачу за счет высоких теплопроводных свойст аллюминия.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 72мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
140084|Радиатор ТЕПЛОН РА 500/80 8 секций|2716.00|"Легкие и элегантные алюминиевые радиаторы отопления, имеют максимальную теплоотдачу за счет высоких теплопроводных свойст аллюминия.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 72мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
140087|Радиатор ТЕПЛОН РА 500/80 10 секций|2290.00|"Легкие и элегантные алюминиевые радиаторы отопления, имеют максимальную теплоотдачу за счет высоких теплопроводных свойств алюминия.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 72мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
140089|Радиатор ТЕПЛОН РА 500/80 12 секций|3259.00|"Легкие и элегантные алюминиевые радиаторы отопления, имеют максимальную теплоотдачу за счет высоких теплопроводных свойст аллюминия.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 72мм.
Глубина секции: 70мм.
"|Водоснабжение, отопление|Радиаторы|
199807|Радиатор ТЕПЛОН РА 500/96 4 секции|1083.00|"Благодаря свойствам алюминиевого сплава, радиатор быстро нагревается и обладает повышенной теплоотдачей, что позволяет получить тепло при минимальном количестве секций.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 96мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
199808|Радиатор ТЕПЛОН РА 500/96 6 секций|1614.00|"Благодаря свойствам алюминиевого сплава, радиатор быстро нагревается и обладает повышенной теплоотдачей, что позволяет получить тепло при минимальном количестве секций.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 96мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
199635|Радиатор ТЕПЛОН РА 500/96 8 секций|2152.00|"Благодаря свойствам алюминиевого сплава, радиатор быстро нагревается и обладает повышенной теплоотдачей, что позволяет получить тепло при минимальном количестве секций.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 96мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
199636|Радиатор ТЕПЛОН РА 500/96  10 секций|2690.00|"Благодаря свойствам алюминиевого сплава, радиатор быстро нагревается и обладает повышенной теплоотдачей, что позволяет получить тепло при минимальном количестве секций.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 96мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
199637|Радиатор ТЕПЛОН РА 500/96 12 секций|3612.00|"Благодаря свойствам алюминиевого сплава, радиатор быстро нагревается и обладает повышенной теплоотдачей, что позволяет получить тепло при минимальном количестве секций.
Межосевое расстояние: 500мм.
Высота секции: 570мм.
Ширина секции: 96мм.
Глубина секции: 70мм."|Водоснабжение, отопление|Радиаторы|
140090|Радиатор ТЕПЛОН РМБ 500/80 4 секции|1309.00|"Благодаря высокой теплоотдаче секций радиаторы можно использовать в низкотемпературных системах отопления.
Межосевое расстояние: 500мм.
Высота секции: 585мм.
Ширина секции: 80мм.
Глубина секции: 80мм."|Водоснабжение, отопление|Радиаторы|
140091|Радиатор ТЕПЛОН РМБ 500/80  6 секций|1964.00|"Благодаря высокой теплоотдаче секций радиаторы можно использовать в низкотемпературных системах отопления.
Межосевое расстояние: 500мм.
Высота секции: 585мм.
Ширина секции: 80мм.
Глубина секции: 80мм."|Водоснабжение, отопление|Радиаторы|
140093|Радиатор ТЕПЛОН РМБ 500/80  8 секций|2720.00|"Благодаря высокой теплоотдаче секций радиаторы можно использовать в низкотемпературных системах отопления.
Межосевое расстояние: 500мм.
Высота секции: 585мм.
Ширина секции: 80мм.
Глубина секции: 80мм."|Водоснабжение, отопление|Радиаторы|
140094|Радиатор ТЕПЛОН РМБ 500/80  10 секций|3400.00|"Благодаря высокой теплоотдаче секций радиаторы можно использовать в низкотемпературных системах отопления.
Межосевое расстояние: 500мм.
Высота секции: 585мм.
Ширина секции: 80мм.
Глубина секции: 80мм."|Водоснабжение, отопление|Радиаторы|
140095|Радиатор ТЕПЛОН РМБ 500/80 12 секций|3927.00|"Благодаря высокой теплоотдаче секций радиаторы можно использовать в низкотемпературных системах отопления.
Межосевое расстояние: 500мм.
Высота секции: 585мм.
Ширина секции: 80мм.
Глубина секции: 80мм."|Водоснабжение, отопление|Радиаторы|
030480|Рукомойник Родничок белый /Воротынск/|830.00|"Размеры: 170х360х450.
"|Сантехника|Санфаянс|Раковины
150156|Умывальник Домино без отверстия /Киров/|840.00|Умывальники без пьедестала. Размеры: 200*450*550.|Сантехника|Санфаянс|Раковины
152385|Умывальник Домино с отверстием /Киров/|840.00|"Умывальники без пьедестала.
Размеры: 200*450*550."|Сантехника|Санфаянс|Раковины
146634|Умывальник Комфорт с отверстием /Киров/|899.00|"Умывальники без пьедестала.
Размеры: 500x470x220."|Сантехника|Санфаянс|Раковины
424949|Умывальник- тюльпан Полисся 55 /Славута/|932.00|"Умывальники с пьедесталом.
Размеры: 545х415х185.
Высота с пьедесталом 800мм."|Сантехника|Санфаянс|Раковины
408626|Унитаз-компакт Della Enkel Plus 45|3404.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 360x640x770 мм.
"|Сантехника|Санфаянс|Унитазы
408624|Унитаз-компакт Della Glanse Plus|3605.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 360x635x770 мм.
"|Сантехника|Санфаянс|Унитазы
010665|Унитаз- компакт Бореаль /Сантек/|3843.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 750x360x670 мм.
"|Сантехника|Санфаянс|Унитазы
424926|Унитаз-компакт Бемби /Славута/|1500.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 670х555х345 мм."|Сантехника|Санфаянс|Унитазы
424930|Унитаз-компакт Коломбо скандинавский /Славута/|2057.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 790х605х355 мм."|Сантехника|Санфаянс|Унитазы
424931|Унитаз-компакт Оригинал кос.выпуск /Славута/|2599.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 770х610х340 мм."|Сантехника|Санфаянс|Унитазы
424920|Унитаз-компакт Орхидея бежево-коричневый, без сидения /Славута/|3000.00|"Унитаз-компакт  (унитаз, бачок, арматура).
Размеры: 745х640х360 мм."|Сантехника|Санфаянс|Унитазы
408889|Унитаз-компакт Орхидея бело-голубой, без сидения /Славута/|3000.00|"Унитаз-компакт  (унитаз, бачок, арматура).
Размеры: 745х640х360 мм."|Сантехника|Санфаянс|Унитазы
408887|Унитаз-компакт Орхидея белый, без сидения /Славута/|1903.00|"Унитаз-компакт  (унитаз, бачок, арматура).
Размеры: 745х640х360 мм."|Сантехника|Санфаянс|Унитазы
408891|Унитаз-компакт Орхидея голубой, без сидения /Славута/|2363.00|"Унитаз-компакт  (унитаз, бачок, арматура).
Размеры: 745х640х360 мм.
"|Сантехника|Санфаянс|Унитазы
408892|Унитаз-компакт Орхидея малахит, без сидения /Славута/|3000.00|"Унитаз-компакт  (унитаз, бачок, арматура).
Размеры: 745х640х360 мм."|Сантехника|Санфаянс|Унитазы
408893|Унитаз-компакт Полисся  белый, с сидением /Славута/|2870.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 755х620х400 мм.
"|Сантехника|Санфаянс|Унитазы
424992|Унитаз-компакт Славута М белый, с сидением /Славута/|2899.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 765х610х370 мм.
"|Сантехника|Санфаянс|Унитазы
408894|Унитаз-компакт Славута Н белый, с сидением /Славута/|1827.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 765х610х370 мм.
"|Сантехника|Санфаянс|Унитазы
424928|Унитаз-компакт Элегант /Славута/|1500.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 725х635х355 мм.
"|Сантехника|Санфаянс|Унитазы
424929|Унитаз-компакт Эпика 3/6л /Славута/|3650.00|"Унитаз-компакт (унитаз, бачок, арматура, сиденье с крышкой).
Размеры: 750х610х350 мм.
"|Сантехника|Санфаянс|Унитазы
143160|Унитаз- компакт НОРД белый комплект /Киров/|2886.00|"Все изделия ТМ ROSA изготавливаются в соответствии с требованиями ГОСТ 15167-93, ГОСТ 21485-94 по рабочим чертежам и технической документации, утвержденной предприятием - изготовителем. Гарантия на все изделия - 5 лет. Гарантия на наполнительную арматуру и сиденья устанавливается их заводом изготовителем.

Масса унитаза: 18 кг
Масса бачка: 8 кг
Косой выпуск
Нижний подвод воды
2 – режим. Арматура 3/6 л. - Уклад
Сиденье полипропилен - Уклад"|Сантехника|Санфаянс|Унитазы
409793|Унитаз- компакт ЭЛЕГАНC белый комплект /Киров/|2690.00|"Все изделия ТМ ROSA изготавливаются в соответствии с требованиями ГОСТ 15167-93, ГОСТ 21485-94 по рабочим чертежам и технической документации, утвержденной предприятием - изготовителем. Гарантия на все изделия - 5 лет. Гарантия на наполнительную арматуру и сиденья устанавливается их заводом изготовителем.

Масса унитаза: 22 кг
Масса бачка: 11,5 кг
Горизонтальный выпуск
Нижний подвод воды
2 – режим. Арматура 3/6 л. - Oliveira
Сиденье DinoPlast: дюропласт."|Сантехника|Санфаянс|Унитазы
158602|Кирпич керамический пустотелый М-150 соломенный, одинарный, лицевой (с фаской)                      |16.00|Применяется для кладки и облицовки внутренних и наружных стен здания. Размер: 250*120*65 мм. Прочность: М-150. Морозостойкость: 50 циклов. Цвет: соломенный.|Строительные материалы|Стеновые материалы|Кирпич
029875|Картон асбестовый 1,0*0,8*0,003м|156.00|Используется  как огнезащитный теплоизоляционный материала. Максимальная температура изолируемой поверхности не более 500 °С.|Строительные материалы|Асбоцементные изделия|Асбестовый картон
056347|Картон асбестовый 1,0*0,8*0,006м|311.00|Используется  как огнезащитный теплоизоляционный материала. Максимальная температура изолируемой поверхности не более 500 °С.|Строительные материалы|Асбоцементные изделия|Асбестовый картон
187691|Шифер 8-ми волновой 1750 х 1130 х 5.2 мм ГОСТ|299.00|Применяется в качестве кровельного покрытия крыш домов, зданий и сооружений. |Строительные материалы|Кровля и водосточные системы|Шифер
185873|Шифер плоский 1500*1000*8мм н/п|263.00|"Применяется в качестве кровельного покрытия крыш, а также для наружной и внутренней отделки стен домов, зданий и сооружений.
"|Строительные материалы|Кровля и водосточные системы|Шифер
019995|Суперлист Knauf влагостойкий (ГВЛВ ФК), 2500 х 1200 х 10 мм|529.00|"КНАУФ-суперлист влагостойкий (ГВЛВ) Высококачественный, экологически чистый влагостойкий отделочный материал для сухого строительства в помещениях с повышенной влажностью с высокими требованиями по пожаробезопасности, тепло- и звукоизоляции.

Гипсоволокнистый КНАУФ-суперлист влагостойкий (ГВЛВ) — листовой отделочный материал прямоугольной формы. Изготавливается по ГОСТ Р 51829-2001 прессованием смеси гипсового вяжущего и волокон распушенной макулатуры, равномерно распределенных по всему объему листа.

Лицевая и тыльная стороны гипсоволокнистого КНАУФ-суперлиста обработаны эффективным гидрофобизатором, отшлифованы и обработаны пропиткой против меления.

Форма кромки КНАУФ-суперлиста фальцевая (ФК). Торцевые кромки листов имеют прямоугольные кромки.

Влагостойкое исполнение гипсоволокнистого КНАУФ-суперлиста, в отличие от обычного, придает ему свойства одновременно огнезащитного и влагостойкого материала.

Предназначены для применения в жилых, административных, общественных и производственных зданиях:
 -  всех степеней огнестойкости, включая I степень;
 -  всех классов конструктивной пожарной опасности, включая класс СО;
 -  всех классов функциональной пожарной опасности, включая класс Ф1;
 -  любых конструктивных систем и типов;
 -  любого уровня ответственности, включая повышенный;
 -  различной этажности;
 -  независимо от климатических и инженерно-геологических условий строительства."|Строительные материалы|Гипсокартон и комплектация|Гипсоволокно
